,MoSD2,MoSD2en,MoSD3,MoSD1,GEO1,workspace_id,date,MoSDGPS_SQ002,MoSDGPS_SQ001
3588,Qarajok Primary Health Center /  مركز صحي قره جوغ,Qarajok Primary Health Center,Primary Health Care Center - Main,0,Erbil / Erbil Health Department,Primary health care sector in Makhmour / قطاع الرعاية الصحية الاولية في مخمور,2023-01-16 07:34:54,43.58096,35.78191
3589,Makhmour Primary Health Center / مركز صحي مخمور,Makhmour Primary Health Center,Primary Health Care Center - Main,0,Erbil / Erbil Health Department,Primary health care sector in Makhmour / قطاع الرعاية الصحية الاولية في مخمور,2023-01-18 07:34:54,43.57565,35.77452
3591,Gwear Primary Health Center / مركز صحي الكوير,Gwear Primary Health Center,Primary Health Care Center - Main,0,Erbil / Erbil Health Department,Primary health care sector in Makhmour / قطاع الرعاية الصحية الاولية في مخمور,2023-01-23 07:34:54,43.49941,36.04595
3592,Debaga Primary Health Center / مركز صحي ديبكه,Debaga Primary Health Center,Primary Health Care Center - Main,0,Erbil / Erbil Health Department,Primary health care sector in Makhmour / قطاع الرعاية الصحية الاولية في مخمور,2023-01-21 07:34:54,43.8118,35.8712
3593,Camp Debaga Primary Health Center / مركز صحي مخيم ديبكه,Camp Debaga Primary Health Center,Primary Health Care Center - Branch,0,Erbil / Erbil Health Department,Primary health care sector in Makhmour / قطاع الرعاية الصحية الاولية في مخمور,2023-02-11 07:34:54,43.80857,35.88358
3594,Hiwera Health Center / مركز صحي هويره, Hiwera Health Center,Primary Health Care Center - Branch,0,Erbil / Erbil Health Department,Primary health care sector in Makhmour / قطاع الرعاية الصحية الاولية في مخمور,2023-01-17 07:34:54,43.59623,36.11896
3595,Hasarok Health Center / مركز صحي حصاروك,Hasarok Health Center,Primary Health Care Center - Branch,0,Erbil / Erbil Health Department,Primary health care sector in Makhmour / قطاع الرعاية الصحية الاولية في مخمور,2023-01-25 07:34:54,43.71708,35.96297
3596,Helena Unit for handicapped children / وحدة هيلينا للاطفال المعاقين,Helena Unit for handicapped children,Primary Health Care Center - Branch,0,Erbil / Erbil Health Department,Primary health care sector in Makhmour / قطاع الرعاية الصحية الاولية في مخمور,2023-02-05 07:34:54,43.57638,35.77258
3597,Plingi Rash Health Center / مركز صحي  پلنگی رەش,Plingi Rash Health Center,Primary Health Care Center - Branch,0,Erbil / Erbil Health Department,Primary health care sector in Makhmour / قطاع الرعاية الصحية الاولية في مخمور,2023-02-02 07:34:54,43.69085,35.92295
3814,Wllaghlw  primary health care center (branch / بنکەی تەندروستی وڵاغلوو,Wllaghlw  primary health care center (branch,Primary Health Care Center - Branch,01100218,Soleimani / Shar Bazir sector,Shar Bazir sector / قطاع شار بازير,2023-03-08 07:34:54,45.369,35.83
3828,Baraw primary health care center (branch) / بنكه ى ته ندروستى باراو,Baraw primary health care center (branch),Primary Health Care Center - Branch,01100218,Soleimani / Shar Bazir sector,Shar Bazir sector / قطاع شار بازير,2022-03-08 07:34:54,45.655,35.604
3877,Qazanqaya health center  / بنکەی تەندروستی قازانقاية,Qazanqaya health center ,Primary Health Care Center - Branch,01020101,Soleimani / Ga rag sector,Ga rag sector / قطاع قه راغ,2023-03-11 07:34:54,45.261,35.4033
3878,Gwrbaz health center  / بنکەی تەندروستی گوڕباز,Gwrbaz health center ,Primary Health Care Center - Branch,01020101,Soleimani / Ga rag sector,Ga rag sector / قطاع قه راغ,2023-03-11 07:34:54,45.2296,35.435
3879,Solla health center  / بنکەی تەندروستی سۆڵە,Solla health center ,Primary Health Care Center - Branch,01020101,Soleimani / Ga rag sector,Ga rag sector / قطاع قه راغ,2023-03-11 07:34:54,45.1975,35.4634
